,id,name,Medulla,Pons,Midbrain
0,4,Left-Lateral-Ventricle,46,17,32
1,5,Left-Inf-Lat-Vent,1,1,1
4,10,Left-Thalamus-Proper,193,60,208
5,11,Left-Caudate,199,64,110
6,12,Left-Putamen,253,83,73
7,13,Left-Pallidum,93,25,35
8,14,3rd-Ventricle,137,44,85
9,15,4th-Ventricle,248,106,56
10,16,Medulla,0,905,174
11,17,Left-Hippocampus,29,9,15
12,18,Left-Amygdala,12,6,12
13,24,CSF,21,8,48
14,26,Left-Accumbens-area,18,13,16
15,28,Left-VentralDC,584,170,221
16,30,Left-vessel,4,1,2
17,31,Left-choroid-plexus,27,11,26
18,43,Right-Lateral-Ventricle,40,16,28
19,44,Right-Inf-Lat-Vent,0,0,1
22,49,Right-Thalamus-Proper,186,65,214
23,50,Right-Caudate,349,101,109
24,51,Right-Putamen,147,37,34
25,52,Right-Pallidum,16,4,7
26,53,Right-Hippocampus,49,16,26
27,54,Right-Amygdala,16,8,14
28,58,Right-Accumbens-area,13,6,11
29,60,Right-VentralDC,554,159,224
30,62,Right-vessel,0,3,1
31,63,Right-choroid-plexus,41,13,23
32,72,5th-Ventricle,0,0,0
33,77,WM-hypointensities,77,19,29
34,78,Left-WM-hypointensities,0,0,0
35,79,Right-WM-hypointensities,0,0,0
36,80,non-WM-hypointensities,0,0,0
37,81,Left-non-WM-hypointensities,0,0,0
38,82,Right-non-WM-hypointensities,0,0,0
39,85,Optic-Chiasm,36,14,39
40,251,CC_Posterior,2,0,1
41,252,CC_Mid_Posterior,6,2,8
42,253,CC_Central,3,2,5
43,254,CC_Mid_Anterior,5,2,1
44,255,CC_Anterior,1,0,1
45,90,Pons,905,0,130
46,120,Midbrain,174,130,0
47,1000,ctx-lh-unknown,6,3,4
48,1001,ctx-lh-bankssts,0,0,1
49,1002,ctx-lh-caudalanteriorcingulate,18,5,10
50,1003,ctx-lh-caudalmiddlefrontal,32,9,10
51,1004,ctx-lh-corpuscallosum,0,0,0
52,1005,ctx-lh-cuneus,6,0,6
53,1006,ctx-lh-entorhinal,12,4,5
54,1007,ctx-lh-fusiform,18,15,17
55,1008,ctx-lh-inferiorparietal,47,6,22
56,1009,ctx-lh-inferiortemporal,13,3,16
57,1010,ctx-lh-isthmuscingulate,34,11,27
58,1011,ctx-lh-lateraloccipital,30,12,36
59,1012,ctx-lh-lateralorbitofrontal,23,10,15
60,1013,ctx-lh-lingual,23,9,14
61,1014,ctx-lh-medialorbitofrontal,33,10,15
62,1015,ctx-lh-middletemporal,13,6,13
63,1016,ctx-lh-parahippocampal,4,4,7
64,1017,ctx-lh-paracentral,39,10,14
65,1018,ctx-lh-parsopercularis,79,14,36
66,1019,ctx-lh-parsorbitalis,7,3,2
67,1020,ctx-lh-parstriangularis,29,10,10
68,1021,ctx-lh-pericalcarine,4,2,3
69,1022,ctx-lh-postcentral,437,124,166
70,1023,ctx-lh-posteriorcingulate,16,9,15
71,1024,ctx-lh-precentral,860,168,139
72,1025,ctx-lh-precuneus,58,21,44
73,1026,ctx-lh-rostralanteriorcingulate,3,1,3
74,1027,ctx-lh-rostralmiddlefrontal,72,26,57
75,1028,ctx-lh-superiorfrontal,855,248,241
76,1029,ctx-lh-superiorparietal,127,49,80
77,1030,ctx-lh-superiortemporal,17,8,44
78,1031,ctx-lh-supramarginal,84,26,59
79,1032,ctx-lh-frontalpole,4,2,5
80,1033,ctx-lh-temporalpole,16,1,6
81,1034,ctx-lh-transversetemporal,1,0,5
82,1035,ctx-lh-insula,75,24,50
83,2000,ctx-rh-unknown,13,8,12
84,2001,ctx-rh-bankssts,1,1,2
85,2002,ctx-rh-caudalanteriorcingulate,17,5,9
86,2003,ctx-rh-caudalmiddlefrontal,26,9,14
87,2004,ctx-rh-corpuscallosum,0,0,0
88,2005,ctx-rh-cuneus,4,2,6
89,2006,ctx-rh-entorhinal,9,2,7
90,2007,ctx-rh-fusiform,30,9,7
91,2008,ctx-rh-inferiorparietal,28,22,29
92,2009,ctx-rh-inferiortemporal,16,4,4
93,2010,ctx-rh-isthmuscingulate,5,7,5
94,2011,ctx-rh-lateraloccipital,16,18,24
95,2012,ctx-rh-lateralorbitofrontal,52,19,30
96,2013,ctx-rh-lingual,10,11,8
97,2014,ctx-rh-medialorbitofrontal,12,7,11
98,2015,ctx-rh-middletemporal,10,5,12
99,2016,ctx-rh-parahippocampal,3,1,2
100,2017,ctx-rh-paracentral,57,6,31
101,2018,ctx-rh-parsopercularis,57,16,11
102,2019,ctx-rh-parsorbitalis,20,6,9
103,2020,ctx-rh-parstriangularis,60,12,18
104,2021,ctx-rh-pericalcarine,8,7,3
105,2022,ctx-rh-postcentral,370,107,204
106,2023,ctx-rh-posteriorcingulate,36,8,16
107,2024,ctx-rh-precentral,850,142,169
108,2025,ctx-rh-precuneus,45,27,47
109,2026,ctx-rh-rostralanteriorcingulate,2,0,6
110,2027,ctx-rh-rostralmiddlefrontal,139,48,70
111,2028,ctx-rh-superiorfrontal,622,144,157
112,2029,ctx-rh-superiorparietal,172,88,163
113,2030,ctx-rh-superiortemporal,20,8,19
114,2031,ctx-rh-supramarginal,39,12,21
115,2032,ctx-rh-frontalpole,10,4,3
116,2033,ctx-rh-temporalpole,5,1,2
117,2034,ctx-rh-transversetemporal,2,1,5
118,2035,ctx-rh-insula,71,22,39
