,id,name,Medulla,Pons,Midbrain
0,4,Left-Lateral-Ventricle,18,10,3
1,5,Left-Inf-Lat-Vent,0,0,0
4,10,Left-Thalamus-Proper,204,129,127
5,11,Left-Caudate,100,53,15
6,12,Left-Putamen,125,97,40
7,13,Left-Pallidum,152,108,27
8,14,3rd-Ventricle,25,27,16
9,15,4th-Ventricle,142,48,24
10,16,Medulla,0,1210,114
11,17,Left-Hippocampus,6,5,2
12,18,Left-Amygdala,6,5,3
13,24,CSF,2,1,3
14,26,Left-Accumbens-area,5,3,1
15,28,Left-VentralDC,660,371,166
16,30,Left-vessel,3,2,1
17,31,Left-choroid-plexus,7,8,5
18,43,Right-Lateral-Ventricle,7,6,1
19,44,Right-Inf-Lat-Vent,0,0,0
22,49,Right-Thalamus-Proper,180,114,103
23,50,Right-Caudate,111,76,17
24,51,Right-Putamen,251,157,33
25,52,Right-Pallidum,60,33,3
26,53,Right-Hippocampus,35,14,4
27,54,Right-Amygdala,5,3,8
28,58,Right-Accumbens-area,5,2,1
29,60,Right-VentralDC,602,327,144
30,62,Right-vessel,0,0,1
31,63,Right-choroid-plexus,15,10,10
32,72,5th-Ventricle,0,0,0
33,77,WM-hypointensities,17,10,3
34,78,Left-WM-hypointensities,0,0,0
35,79,Right-WM-hypointensities,0,0,0
36,80,non-WM-hypointensities,0,0,0
37,81,Left-non-WM-hypointensities,0,0,0
38,82,Right-non-WM-hypointensities,0,0,0
39,85,Optic-Chiasm,17,15,15
40,251,CC_Posterior,1,2,1
41,252,CC_Mid_Posterior,4,1,0
42,253,CC_Central,13,7,1
43,254,CC_Mid_Anterior,2,2,1
44,255,CC_Anterior,1,1,0
45,90,Pons,1210,0,125
46,120,Midbrain,114,125,0
47,1000,ctx-lh-unknown,0,1,3
48,1001,ctx-lh-bankssts,0,0,2
49,1002,ctx-lh-caudalanteriorcingulate,2,1,0
50,1003,ctx-lh-caudalmiddlefrontal,19,9,5
51,1004,ctx-lh-corpuscallosum,0,0,0
52,1005,ctx-lh-cuneus,0,2,5
53,1006,ctx-lh-entorhinal,1,0,1
54,1007,ctx-lh-fusiform,3,2,7
55,1008,ctx-lh-inferiorparietal,11,11,4
56,1009,ctx-lh-inferiortemporal,5,0,2
57,1010,ctx-lh-isthmuscingulate,7,8,1
58,1011,ctx-lh-lateraloccipital,1,5,12
59,1012,ctx-lh-lateralorbitofrontal,1,0,0
60,1013,ctx-lh-lingual,2,6,3
61,1014,ctx-lh-medialorbitofrontal,1,2,2
62,1015,ctx-lh-middletemporal,1,1,2
63,1016,ctx-lh-parahippocampal,0,0,0
64,1017,ctx-lh-paracentral,19,9,2
65,1018,ctx-lh-parsopercularis,38,34,7
66,1019,ctx-lh-parsorbitalis,3,0,2
67,1020,ctx-lh-parstriangularis,4,3,1
68,1021,ctx-lh-pericalcarine,1,1,4
69,1022,ctx-lh-postcentral,107,70,43
70,1023,ctx-lh-posteriorcingulate,5,0,0
71,1024,ctx-lh-precentral,347,150,36
72,1025,ctx-lh-precuneus,7,5,9
73,1026,ctx-lh-rostralanteriorcingulate,1,0,0
74,1027,ctx-lh-rostralmiddlefrontal,20,8,3
75,1028,ctx-lh-superiorfrontal,216,138,24
76,1029,ctx-lh-superiorparietal,29,34,24
77,1030,ctx-lh-superiortemporal,7,7,7
78,1031,ctx-lh-supramarginal,31,23,14
79,1032,ctx-lh-frontalpole,0,0,0
80,1033,ctx-lh-temporalpole,0,2,0
81,1034,ctx-lh-transversetemporal,3,1,0
82,1035,ctx-lh-insula,7,2,3
83,2000,ctx-rh-unknown,5,5,3
84,2001,ctx-rh-bankssts,2,2,0
85,2002,ctx-rh-caudalanteriorcingulate,1,2,1
86,2003,ctx-rh-caudalmiddlefrontal,13,12,0
87,2004,ctx-rh-corpuscallosum,0,0,0
88,2005,ctx-rh-cuneus,0,2,1
89,2006,ctx-rh-entorhinal,2,0,0
90,2007,ctx-rh-fusiform,2,6,4
91,2008,ctx-rh-inferiorparietal,14,13,5
92,2009,ctx-rh-inferiortemporal,5,2,2
93,2010,ctx-rh-isthmuscingulate,6,1,3
94,2011,ctx-rh-lateraloccipital,6,7,5
95,2012,ctx-rh-lateralorbitofrontal,1,3,1
96,2013,ctx-rh-lingual,2,4,4
97,2014,ctx-rh-medialorbitofrontal,0,0,0
98,2015,ctx-rh-middletemporal,2,4,1
99,2016,ctx-rh-parahippocampal,0,0,0
100,2017,ctx-rh-paracentral,11,3,3
101,2018,ctx-rh-parsopercularis,22,19,1
102,2019,ctx-rh-parsorbitalis,2,3,0
103,2020,ctx-rh-parstriangularis,9,4,2
104,2021,ctx-rh-pericalcarine,0,4,1
105,2022,ctx-rh-postcentral,90,67,54
106,2023,ctx-rh-posteriorcingulate,15,4,3
107,2024,ctx-rh-precentral,430,181,35
108,2025,ctx-rh-precuneus,7,11,9
109,2026,ctx-rh-rostralanteriorcingulate,2,0,0
110,2027,ctx-rh-rostralmiddlefrontal,21,18,5
111,2028,ctx-rh-superiorfrontal,191,97,29
112,2029,ctx-rh-superiorparietal,38,41,29
113,2030,ctx-rh-superiortemporal,11,6,3
114,2031,ctx-rh-supramarginal,13,6,7
115,2032,ctx-rh-frontalpole,0,0,0
116,2033,ctx-rh-temporalpole,0,0,0
117,2034,ctx-rh-transversetemporal,1,2,2
118,2035,ctx-rh-insula,11,12,8
