,id,name,Medulla,Pons,Midbrain
0,4,Left-Lateral-Ventricle,5,4,0
1,5,Left-Inf-Lat-Vent,0,0,0
4,10,Left-Thalamus-Proper,43,49,53
5,11,Left-Caudate,35,46,2
6,12,Left-Putamen,42,43,28
7,13,Left-Pallidum,74,131,7
8,14,3rd-Ventricle,5,7,0
9,15,4th-Ventricle,38,18,18
10,16,Medulla,0,1125,102
11,17,Left-Hippocampus,0,4,0
12,18,Left-Amygdala,0,0,0
13,24,CSF,0,0,0
14,26,Left-Accumbens-area,0,0,0
15,28,Left-VentralDC,603,582,184
16,30,Left-vessel,1,1,0
17,31,Left-choroid-plexus,1,2,0
18,43,Right-Lateral-Ventricle,1,0,0
19,44,Right-Inf-Lat-Vent,0,0,0
22,49,Right-Thalamus-Proper,62,72,8
23,50,Right-Caudate,32,39,5
24,51,Right-Putamen,60,93,14
25,52,Right-Pallidum,103,124,15
26,53,Right-Hippocampus,14,9,0
27,54,Right-Amygdala,1,0,2
28,58,Right-Accumbens-area,1,1,0
29,60,Right-VentralDC,521,470,112
30,62,Right-vessel,0,0,0
31,63,Right-choroid-plexus,5,0,0
32,72,5th-Ventricle,0,0,0
33,77,WM-hypointensities,0,1,0
34,78,Left-WM-hypointensities,0,0,0
35,79,Right-WM-hypointensities,0,0,0
36,80,non-WM-hypointensities,0,0,0
37,81,Left-non-WM-hypointensities,0,0,0
38,82,Right-non-WM-hypointensities,0,0,0
39,85,Optic-Chiasm,1,2,2
40,251,CC_Posterior,0,1,1
41,252,CC_Mid_Posterior,0,1,0
42,253,CC_Central,2,1,0
43,254,CC_Mid_Anterior,1,1,0
44,255,CC_Anterior,0,0,0
45,90,Pons,1125,0,164
46,120,Midbrain,102,164,0
47,1000,ctx-lh-unknown,1,0,0
48,1001,ctx-lh-bankssts,0,0,0
49,1002,ctx-lh-caudalanteriorcingulate,3,0,0
50,1003,ctx-lh-caudalmiddlefrontal,0,1,0
51,1004,ctx-lh-corpuscallosum,0,0,0
52,1005,ctx-lh-cuneus,0,1,0
53,1006,ctx-lh-entorhinal,0,0,0
54,1007,ctx-lh-fusiform,0,0,0
55,1008,ctx-lh-inferiorparietal,1,2,1
56,1009,ctx-lh-inferiortemporal,0,0,0
57,1010,ctx-lh-isthmuscingulate,2,6,0
58,1011,ctx-lh-lateraloccipital,1,3,2
59,1012,ctx-lh-lateralorbitofrontal,0,1,0
60,1013,ctx-lh-lingual,0,1,0
61,1014,ctx-lh-medialorbitofrontal,0,0,0
62,1015,ctx-lh-middletemporal,0,0,0
63,1016,ctx-lh-parahippocampal,0,0,0
64,1017,ctx-lh-paracentral,1,1,0
65,1018,ctx-lh-parsopercularis,1,3,0
66,1019,ctx-lh-parsorbitalis,0,0,0
67,1020,ctx-lh-parstriangularis,0,1,0
68,1021,ctx-lh-pericalcarine,0,1,1
69,1022,ctx-lh-postcentral,46,52,8
70,1023,ctx-lh-posteriorcingulate,0,5,0
71,1024,ctx-lh-precentral,33,41,1
72,1025,ctx-lh-precuneus,4,7,0
73,1026,ctx-lh-rostralanteriorcingulate,0,0,0
74,1027,ctx-lh-rostralmiddlefrontal,0,1,0
75,1028,ctx-lh-superiorfrontal,25,35,1
76,1029,ctx-lh-superiorparietal,5,9,2
77,1030,ctx-lh-superiortemporal,2,3,0
78,1031,ctx-lh-supramarginal,7,4,1
79,1032,ctx-lh-frontalpole,0,0,0
80,1033,ctx-lh-temporalpole,0,0,0
81,1034,ctx-lh-transversetemporal,0,0,0
82,1035,ctx-lh-insula,0,1,1
83,2000,ctx-rh-unknown,0,1,0
84,2001,ctx-rh-bankssts,0,0,0
85,2002,ctx-rh-caudalanteriorcingulate,0,2,0
86,2003,ctx-rh-caudalmiddlefrontal,1,0,0
87,2004,ctx-rh-corpuscallosum,0,0,0
88,2005,ctx-rh-cuneus,0,0,0
89,2006,ctx-rh-entorhinal,0,0,0
90,2007,ctx-rh-fusiform,0,0,0
91,2008,ctx-rh-inferiorparietal,0,0,0
92,2009,ctx-rh-inferiortemporal,0,0,0
93,2010,ctx-rh-isthmuscingulate,1,2,0
94,2011,ctx-rh-lateraloccipital,0,1,2
95,2012,ctx-rh-lateralorbitofrontal,0,1,0
96,2013,ctx-rh-lingual,0,1,0
97,2014,ctx-rh-medialorbitofrontal,0,0,0
98,2015,ctx-rh-middletemporal,0,0,1
99,2016,ctx-rh-parahippocampal,0,0,0
100,2017,ctx-rh-paracentral,3,0,0
101,2018,ctx-rh-parsopercularis,0,3,0
102,2019,ctx-rh-parsorbitalis,0,1,0
103,2020,ctx-rh-parstriangularis,0,3,0
104,2021,ctx-rh-pericalcarine,0,0,0
105,2022,ctx-rh-postcentral,47,54,7
106,2023,ctx-rh-posteriorcingulate,4,2,0
107,2024,ctx-rh-precentral,82,55,6
108,2025,ctx-rh-precuneus,0,1,1
109,2026,ctx-rh-rostralanteriorcingulate,0,0,0
110,2027,ctx-rh-rostralmiddlefrontal,2,2,0
111,2028,ctx-rh-superiorfrontal,30,47,3
112,2029,ctx-rh-superiorparietal,6,7,3
113,2030,ctx-rh-superiortemporal,1,1,1
114,2031,ctx-rh-supramarginal,3,2,0
115,2032,ctx-rh-frontalpole,0,0,0
116,2033,ctx-rh-temporalpole,0,0,0
117,2034,ctx-rh-transversetemporal,1,1,0
118,2035,ctx-rh-insula,0,0,0
